,Unnamed: 0,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
0,0,SYD,Sydney,SFO,San Francisco,1,33,"[1, 15]","[33, 5]",d2f755fe00120e929ca74f961c1eab68,857.0,1,16,38,960,998,1559791859.079683
1,1,SYD,Sydney,SFO,San Francisco,3,41,"[3, 17]","[41, 0]",714a5095ae3f54658f21659af126d1cd,936.0,1,20,41,1200,1241,1559791859.079683
2,2,SYD,Sydney,SFO,San Francisco,1,38,"[1, 14]","[38, 45]",f65e244378619c6565fee723db6e517b,942.0,1,15,83,900,983,1559791859.079683
3,3,SYD,Sydney,SFO,San Francisco,3,43,"[3, 17]","[43, 15]",5de254db482d07b21fbacd2541d2a761,824.0,1,20,58,1200,1258,1559791859.079683
4,4,SYD,Sydney,SFO,San Francisco,14,0,"[14, 8]","[0, 15]",e62412b83aabfeabf1f95214aa7bdcf7,1182.0,1,22,15,1320,1335,1559791859.079683
5,5,SYD,Sydney,SFO,San Francisco,12,55,"[12, 3]","[55, 40]",3834aa69c5bb6e2423830dbc9ca7b79e,1301.0,1,15,95,900,995,1559791859.079683
6,6,SFO,San Francisco,SYD,Sydney,3,50,"[3, 10, 1]","[50, 45, 21]",dbf63eeb1f5845d5f159c7495cdf6316,1312.0,2,14,116,840,956,1559791859.079683
7,7,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 5]",17e3c67bf7a20804c3cdf36d28801c61,860.0,1,16,42,960,1002,1559791859.079683
8,8,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",c5c7977135c98c32bdf24e497fee7617,933.0,1,16,55,960,1015,1559791859.079683
9,9,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",cd1d2c2cc94801b3303b26a47e34e088,933.0,1,16,55,960,1015,1559791859.079683
10,10,SFO,San Francisco,SYD,Sydney,13,50,"[13, 1]","[50, 18]",8cc1b309266cd48d4ba21ae4e26119b1,942.0,1,14,68,840,908,1559791859.079683
11,11,SFO,San Francisco,SYD,Sydney,9,35,"[9, 12]","[35, 5]",db9b35e7db84eaf836fe313c43984bc2,1075.0,1,21,40,1260,1300,1559791859.079683
