,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
0,BCN,Barcelona,SFO,San Francisco,5,33,"[5, 7]","[33, 55]",8caeef3ae7bfe6e0b6f74b3311f40561,868.0,1,12,88,720,808,1559792721.654575
1,BCN,Barcelona,SFO,San Francisco,5,5,"[5, 1, 7]","[5, 15, 15]",53ad1543ea2af38fe0e6c2c26f7630ec,1265.0,2,13,35,780,815,1559792721.654575
2,BCN,Barcelona,SFO,San Francisco,4,35,"[4, 7, 2]","[35, 28, 10]",2d1d54beeec2de1b49a9ba0b5ea2bfdb,889.0,2,13,73,780,853,1559792721.654575
3,BCN,Barcelona,SFO,San Francisco,10,25,"[10, 2]","[25, 10]",5dfa4f4af8cae43485dc5ac08bb3a6a3,1037.0,1,12,35,720,755,1559792721.654575
4,SFO,San Francisco,BCN,Barcelona,2,25,"[2, 8, 5]","[25, 58, 5]",d789d40d0b81a13a5995c8bccee25c0e,889.0,2,15,88,900,988,1559792721.654575
5,SFO,San Francisco,BCN,Barcelona,1,55,"[1, 11]","[55, 25]",c728c212abb1a0a1fb168dfc93c29193,1658.0,1,12,80,720,800,1559792721.654575
6,BCN,Barcelona,SFO,San Francisco,10,55,"[10, 1]","[55, 45]",0f22db2ce1c73800f8cb40e76278ed5b,898.0,1,11,100,660,760,1559792721.654575
7,BCN,Barcelona,SFO,San Francisco,11,25,[11],[25],3f27e463d399a187def39f5a9b725804,1023.0,0,11,25,660,685,1559792721.654575
8,SFO,San Francisco,BCN,Barcelona,3,25,"[3, 13]","[25, 25]",6fb195957ddfbc1ec3cb523c58b346b5,1769.0,1,16,50,960,1010,1559792721.654575
9,BCN,Barcelona,SFO,San Francisco,13,0,"[13, 3]","[0, 55]",3b33143e6bfa65875924a767177c48bd,1769.0,1,16,55,960,1015,1559792721.654575
10,BCN,Barcelona,SFO,San Francisco,10,50,"[10, 2]","[50, 0]",03f2001506c64030b7aceb478428d36a,1089.0,1,12,50,720,770,1559792721.654575
11,SFO,San Francisco,BCN,Barcelona,1,25,"[1, 12]","[25, 50]",461176e3183e954020b338d99d5d326b,1105.0,1,13,75,780,855,1559792721.654575
12,BCN,Barcelona,SFO,San Francisco,10,55,"[10, 2, 1]","[55, 5, 50]",6a4040f1d67c8cbed81ace0739d7c887,1658.0,2,13,110,780,890,1559792721.654575
13,BCN,Barcelona,SFO,San Francisco,10,25,"[10, 2]","[25, 10]",11b3a2c3f4019e4270e1988dbaff063c,1207.0,1,12,35,720,755,1559792721.654575
14,BCN,Barcelona,SFO,San Francisco,3,44,"[3, 9, 2]","[44, 5, 10]",75fd3fa50ba72fd8bfb4700351e89d2c,4324.0,2,14,59,840,899,1559792721.654575
15,BCN,Barcelona,SFO,San Francisco,10,25,"[10, 2]","[25, 10]",ce3b0202d43910e6772d4247f0583808,1207.0,1,12,35,720,755,1559792721.654575
16,SFO,San Francisco,BCN,Barcelona,1,55,"[1, 12]","[55, 20]",4106398536457855aee4d95f1fe8535e,4288.0,1,13,75,780,855,1559792721.654575
17,BCN,Barcelona,SFO,San Francisco,4,35,"[4, 7, 1]","[35, 57, 50]",42733c5bfbdc3348b1489ee5a324f2a2,903.0,2,12,142,720,862,1559792721.654575
18,BCN,Barcelona,SFO,San Francisco,11,5,"[11, 2]","[5, 0]",55b70a0fcdc2b733721f267980b03cdf,1296.0,1,13,5,780,785,1559792721.654575
19,BCN,Barcelona,SFO,San Francisco,5,21,"[5, 8]","[21, 30]",31b8c336193de15c44e170600d937abe,1512.0,1,13,51,780,831,1559792721.654575
20,BCN,Barcelona,SFO,San Francisco,3,44,"[3, 9, 2]","[44, 5, 10]",29339eb7421af6b8662c2d610de76e00,618.0,2,14,59,840,899,1559792721.654575
21,BCN,Barcelona,SFO,San Francisco,10,15,"[10, 2]","[15, 35]",b96ab7627a42727d3e74b97278e042f1,1384.0,1,12,50,720,770,1559792721.654575
22,BCN,Barcelona,SFO,San Francisco,10,20,"[10, 2]","[20, 5]",203a737723f1ab099d73254d6e587c41,904.0,1,12,25,720,745,1559792721.654575
23,BCN,Barcelona,SFO,San Francisco,4,29,"[4, 8, 1]","[29, 10, 15]",15e88725d3941d28aba3cd23e076b402,1360.0,2,13,54,780,834,1559792721.654575
