,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
0,BOS,Boston,SFO,San Francisco,5,46,"[5, 1]","[46, 35]",649ac23fd609054563bf1aeef99e02af,492.0,1,6,81,360,441,1559793222.5816221
1,BOS,Boston,SFO,San Francisco,1,50,"[1, 5]","[50, 25]",894da218b189b5355409cf1942046f85,356.0,1,6,75,360,435,1559793222.5816221
2,BOS,Boston,SFO,San Francisco,3,28,"[3, 2]","[28, 45]",26177682fb4225cca7d0f3994ed61581,466.0,1,5,73,300,373,1559793222.5816221
3,BOS,Boston,SFO,San Francisco,5,48,[5],[48],f577df8387f7579deed9c31508f3b8f1,504.0,0,5,48,300,348,1559793222.5816221
4,BOS,Boston,SFO,San Francisco,6,0,[6],[0],c71390eafa35c27eda2494809dda6465,437.0,0,6,0,360,360,1559793222.5816221
5,BOS,Boston,SFO,San Francisco,3,29,"[3, 3]","[29, 51]",f3add2d7c32d03d4258b71fab84d8bbd,397.0,1,6,80,360,440,1559793222.5816221
6,BOS,Boston,SFO,San Francisco,3,42,"[3, 3]","[42, 1]",2e13734decb2050925bed320b269c27b,466.0,1,6,43,360,403,1559793222.5816221
7,BOS,Boston,SFO,San Francisco,1,54,"[1, 4]","[54, 45]",5f8f2a7b98b557e98002fb9dca141149,466.0,1,5,99,300,399,1559793222.5816221
8,BOS,Boston,SFO,San Francisco,4,29,"[4, 2]","[29, 25]",5d209a866818a12ad0b895c012e0e8c6,579.0,1,6,54,360,414,1559793222.5816221
9,BOS,Boston,SFO,San Francisco,4,23,"[4, 2]","[23, 19]",404fd5b9415194ea6edfa485655d1e5d,354.0,1,6,42,360,402,1559793222.5816221
10,BOS,Boston,SFO,San Francisco,5,21,"[5, 2]","[21, 22]",79cf6e748470cfa8482bf44167a31662,403.0,1,7,43,420,463,1559793222.5816221
11,BOS,Boston,SFO,San Francisco,3,31,"[3, 2]","[31, 52]",e63a3b0fce5c2c50d309bcf108183f23,466.0,1,5,83,300,383,1559793222.5816221
12,BOS,Boston,SFO,San Francisco,2,11,"[2, 4]","[11, 59]",ec4c72562a949d52f0c1d7490cbf84d7,500.0,1,6,70,360,430,1559793222.5816221
13,BOS,Boston,SFO,San Francisco,4,29,"[4, 2]","[29, 25]",5e37edda23cf67c812ca78a821961bd0,587.0,1,6,54,360,414,1559793222.5816221
14,BOS,Boston,SFO,San Francisco,4,9,"[4, 2]","[9, 21]",31b2f7a700e23a72af560441120af535,674.0,1,6,30,360,390,1559793222.5816221
15,BOS,Boston,SFO,San Francisco,5,41,"[5, 1]","[41, 16]",e0ebbbb834b73fb2f3266ab7c5f62c2b,470.0,1,6,57,360,417,1559793222.5816221
16,BOS,Boston,SFO,San Francisco,2,11,"[2, 5]","[11, 3]",eb9ab21789e2682540567aa868bd0fb4,450.0,1,7,14,420,434,1559793222.5816221
17,BOS,Boston,SFO,San Francisco,5,19,"[5, 2]","[19, 15]",d01ce7593a13ae87f2d6a03f4adca99b,520.0,1,7,34,420,454,1559793222.5816221
18,BOS,Boston,SFO,San Francisco,4,42,"[4, 2]","[42, 45]",e2597b8ccc908cadf9251848a710d1f0,599.0,1,6,87,360,447,1559793222.5816221
19,BOS,Boston,SFO,San Francisco,1,37,"[1, 4, 2]","[37, 24, 35]",6f7faacc69ec70172aa612c5193b1bcf,1055.0,2,7,96,420,516,1559793222.5816221
20,BOS,Boston,SFO,San Francisco,3,29,"[3, 3]","[29, 51]",ffcc691001ed5fa03a46a9a22542abd1,449.0,1,6,80,360,440,1559793222.5816221
21,BOS,Boston,SFO,San Francisco,1,50,"[1, 5]","[50, 25]",e3deab2117e5667f0972a6bb1d829339,465.0,1,6,75,360,435,1559793222.5816221
22,BOS,Boston,SFO,San Francisco,4,36,"[4, 2]","[36, 45]",f43c6eba86421cda02a6e41dd2d8229a,530.0,1,6,81,360,441,1559793222.5816221
23,BOS,Boston,SFO,San Francisco,2,5,"[2, 5]","[5, 12]",a4cefad21a43c5ea9b9a74871dbb1b88,404.0,1,7,17,420,437,1559793222.5816221
24,BOS,Boston,SFO,San Francisco,4,42,"[4, 2]","[42, 39]",3e3a3ba3f4c01d31451d689ebd5ef124,470.0,1,6,81,360,441,1559793222.5816221
25,BOS,Boston,SFO,San Francisco,5,36,[5],[36],82e7526e8565589bc384f91cabfa22b2,367.0,0,5,36,300,336,1559793222.5816221
