,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
0,SFO,San Francisco,CPT,Cape Town,1,55,"[1, 10, 11]","[55, 35, 35]",0a099f3ff9d901778aba98f153cfecfa,1731.0,2,22,125,1320,1445,1559792994.2169511
1,CPT,Cape Town,SFO,San Francisco,10,50,"[10, 10, 2]","[50, 25, 10]",c134f0af2622316185c0989cc981276f,2056.0,2,22,85,1320,1405,1559792994.2169511
2,CPT,Cape Town,SFO,San Francisco,11,0,"[11, 11]","[0, 45]",7c2ec8a49f563ea2bf8c7b89f6425d64,4211.0,1,22,45,1320,1365,1559792994.2169511
3,CPT,Cape Town,SFO,San Francisco,4,45,"[4, 15, 2]","[45, 39, 10]",aa6a913d2d1904ee69e211abf5ae8a30,1606.0,2,21,94,1260,1354,1559792994.2169511
4,CPT,Cape Town,SFO,San Francisco,11,5,"[11, 10, 2]","[5, 25, 10]",7857fe172a963bb492d915c234858219,1516.0,2,23,40,1380,1420,1559792994.2169511
5,SFO,San Francisco,CPT,Cape Town,2,0,"[2, 11, 11]","[0, 10, 5]",dcf0f1bbe8133060cdaebb8860d74df9,1706.0,2,24,15,1440,1455,1559792994.2169511
6,CPT,Cape Town,SFO,San Francisco,5,46,"[5, 14, 2]","[46, 50, 10]",849f2cc49d674fb83dd6b6c81aab8057,4647.0,2,21,106,1260,1366,1559792994.2169511
7,SFO,San Francisco,CPT,Cape Town,2,0,"[2, 11, 11]","[0, 10, 5]",7288313e3edad3884cfad94f3bdd0930,1640.0,2,24,15,1440,1455,1559792994.2169511
8,CPT,Cape Town,SFO,San Francisco,5,5,"[5, 10, 5, 2]","[5, 30, 45, 10]",bfe506303238e8c0f6998d8abacaa6f1,4415.0,3,22,90,1320,1410,1559792994.2169511
9,CPT,Cape Town,SFO,San Francisco,2,18,"[2, 9, 11]","[18, 50, 40]",c72a9dbabcd5166527c476025f7b8b64,1730.0,2,22,108,1320,1428,1559792994.2169511
10,CPT,Cape Town,SFO,San Francisco,2,18,"[2, 9, 11]","[18, 50, 40]",17330bdd0490b37c8fba776ada675cb1,1727.0,2,22,108,1320,1428,1559792994.2169511
11,SFO,San Francisco,CPT,Cape Town,1,55,"[1, 10, 11]","[55, 45, 50]",d8eb9137a804ca2de1935a8c533c8afa,1913.0,2,22,150,1320,1470,1559792994.2169511
12,SFO,San Francisco,CPT,Cape Town,2,0,"[2, 11, 11]","[0, 10, 5]",f085a3318c6cb35a27ef07302c80c882,1640.0,2,24,15,1440,1455,1559792994.2169511
13,CPT,Cape Town,SFO,San Francisco,1,33,"[1, 10, 11]","[33, 15, 15]",227f9cac1e2517d865249c736fb857b3,5723.0,2,22,63,1320,1383,1559792994.2169511
14,CPT,Cape Town,SFO,San Francisco,11,5,"[11, 10, 2]","[5, 25, 10]",d36aabb5fef657b91aff0d3bd560d8de,2056.0,2,23,40,1380,1420,1559792994.2169511
15,CPT,Cape Town,SFO,San Francisco,10,15,"[10, 1, 11]","[15, 15, 20]",c0c8ea29dbead983fad8995455b6f21d,1513.0,2,22,50,1320,1370,1559792994.2169511
16,SFO,San Francisco,CPT,Cape Town,2,0,"[2, 11, 11]","[0, 10, 5]",4e8404de775e6e72ee72aa9e474b6615,1640.0,2,24,15,1440,1455,1559792994.2169511
17,CPT,Cape Town,SFO,San Francisco,5,55,"[5, 14, 2]","[55, 50, 10]",77ee6a0905b5a650bb75d38d42c60731,4391.0,2,21,115,1260,1375,1559792994.2169511
18,CPT,Cape Town,SFO,San Francisco,5,42,"[5, 7, 11]","[42, 20, 40]",9942f42515dcbf350b7a595de38f831d,1673.0,2,23,102,1380,1482,1559792994.2169511
19,CPT,Cape Town,SFO,San Francisco,1,33,"[1, 10, 11]","[33, 55, 40]",765aedfd8d09cc7880a69de6cdc82de9,1759.0,2,22,128,1320,1448,1559792994.2169511
20,CPT,Cape Town,SFO,San Francisco,10,30,"[10, 11]","[30, 30]",839bb12363cc935f1ff7c2987493c537,4681.0,1,21,60,1260,1320,1559792994.2169511
21,CPT,Cape Town,SFO,San Francisco,5,31,"[5, 14, 2]","[31, 50, 10]",e2536843ded829e0de6672d7e875114e,4647.0,2,21,91,1260,1351,1559792994.2169511
22,CPT,Cape Town,SFO,San Francisco,11,5,"[11, 10, 2]","[5, 40, 10]",b3dd32cc85e8f97b9c200202295d0ead,4237.0,2,23,55,1380,1435,1559792994.2169511
23,CPT,Cape Town,SFO,San Francisco,1,32,"[1, 10, 11]","[32, 15, 15]",df9f251f8b120a65037a9141af2e8cfb,5723.0,2,22,62,1320,1382,1559792994.2169511
