,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
0,SFO,San Francisco,CUZ,Cusco,1,30,"[1, 4, 6]","[30, 24, 5]",83947e7f406141824116c18a1770dcc7,1006.0,2,11,59,660,719,1559792127.0679529
1,SFO,San Francisco,CUZ,Cusco,1,30,"[1, 3, 7]","[30, 45, 35]",96dbd8a6c7a0cbcc7a4798ecfb8d65b9,1088.0,2,11,110,660,770,1559792127.0679529
2,CUZ,Cusco,SFO,San Francisco,1,32,"[1, 8, 1]","[32, 20, 27]",beab05ff2e8d343b7a34898495a03a3f,0.0,2,10,79,600,679,1559792127.0679529
3,SFO,San Francisco,CUZ,Cusco,1,30,"[1, 4, 6]","[30, 24, 5]",aab4fc07db2fec6eadfb2c9029954b18,746.0,2,11,59,660,719,1559792127.0679529
4,CUZ,Cusco,SFO,San Francisco,1,32,"[1, 8, 1]","[32, 20, 27]",5d9ac5974c766b2a9eaf38721f9db358,4931.0,2,10,79,600,679,1559792127.0679529
5,CUZ,Cusco,SFO,San Francisco,3,59,"[3, 6, 1]","[59, 30, 20]",27b0f7069461a1dc9364bc64fa143ea8,924.0,2,10,109,600,709,1559792127.0679529
6,CUZ,Cusco,SFO,San Francisco,3,46,"[3, 7, 1]","[46, 3, 27]",8016bbe336e3d5addbeb445eb64cf077,1021.0,2,11,76,660,736,1559792127.0679529
7,CUZ,Cusco,SFO,San Francisco,3,44,"[3, 7, 1]","[44, 3, 27]",e90fe06beb2ee87c528423ca3a98a062,887.0,2,11,74,660,734,1559792127.0679529
8,SFO,San Francisco,CUZ,Cusco,1,30,"[1, 6, 4]","[30, 35, 15]",7d19f0424089a0773a36c34af8af51d6,4931.0,2,11,80,660,740,1559792127.0679529
9,CUZ,Cusco,SFO,San Francisco,5,38,"[5, 4, 1]","[38, 20, 20]",7f1e94dee3cea71e0c5c5dd3a1983572,746.0,2,10,78,600,678,1559792127.0679529
10,SFO,San Francisco,CUZ,Cusco,1,32,"[1, 5, 5]","[32, 55, 54]",79985cbad82d21266f13e60176584910,887.0,2,11,141,660,801,1559792127.0679529
11,CUZ,Cusco,SFO,San Francisco,3,46,"[3, 4, 3]","[46, 50, 21]",0dbbcbac058833c82c8840707ab24d31,1374.0,2,10,117,600,717,1559792127.0679529
12,CUZ,Cusco,SFO,San Francisco,7,15,"[7, 3, 1]","[15, 34, 20]",12b31689e15631749396023c7cecfc00,1088.0,2,11,69,660,729,1559792127.0679529
13,CUZ,Cusco,SFO,San Francisco,1,34,"[1, 7, 3]","[34, 0, 21]",7500c18715c51e9a1f25956dc458c695,1063.0,2,11,55,660,715,1559792127.0679529
14,CUZ,Cusco,SFO,San Francisco,1,34,"[1, 8, 1]","[34, 20, 27]",0b682c51edc733dbf2fd308817cc7bb3,982.0,2,10,81,600,681,1559792127.0679529
15,CUZ,Cusco,SFO,San Francisco,3,40,"[3, 7, 1]","[40, 3, 27]",1c6f16f91a933d33763d34d7fa0981fa,982.0,2,11,70,660,730,1559792127.0679529
16,CUZ,Cusco,SFO,San Francisco,1,32,"[1, 8, 1]","[32, 20, 27]",fb7149926e091b5b92ef03b254760a7d,4931.0,2,10,79,600,679,1559792127.0679529
17,CUZ,Cusco,SFO,San Francisco,1,32,"[1, 8, 1]","[32, 20, 27]",c58db1c0b249855a0f682501d1d85ea1,0.0,2,10,79,600,679,1559792127.0679529
18,CUZ,Cusco,SFO,San Francisco,5,38,"[5, 4, 1]","[38, 4, 20]",ad2907311f7354e8e989dcc2ab28095d,746.0,2,10,62,600,662,1559792127.0679529
19,SFO,San Francisco,CUZ,Cusco,1,32,"[1, 8, 1]","[32, 40, 24]",f1e459e75785508b0db13eb7a2fba1c2,982.0,2,10,96,600,696,1559792127.0679529
20,CUZ,Cusco,SFO,San Francisco,3,46,"[3, 4, 3]","[46, 50, 21]",6ceb27bec101aecc3934ca81f3364f22,1127.0,2,10,117,600,717,1559792127.0679529
21,SFO,San Francisco,CUZ,Cusco,1,30,"[1, 6, 4]","[30, 35, 15]",b0c9f38a3f7e0623fdfbdda1ff7aad22,924.0,2,11,80,660,740,1559792127.0679529
22,CUZ,Cusco,SFO,San Francisco,1,34,"[1, 7, 3]","[34, 0, 21]",86283da622a0a1a40bff7a779384557a,1006.0,2,11,55,660,715,1559792127.0679529
23,SFO,San Francisco,CUZ,Cusco,1,32,"[1, 8, 1]","[32, 40, 24]",8443ce93a60f32b9802ad178e043f647,982.0,2,10,96,600,696,1559792127.0679529
24,CUZ,Cusco,SFO,San Francisco,1,34,"[1, 7, 3]","[34, 0, 21]",da90f5755517c27e934ac7486a427b90,1063.0,2,11,55,660,715,1559792127.0679529
25,CUZ,Cusco,SFO,San Francisco,1,34,"[1, 8, 1]","[34, 20, 27]",7708ced3f78c7164358b1384a1b997d4,982.0,2,10,81,600,681,1559792127.0679529
