,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
0,FCO,Rome,SFO,San Francisco,5,35,"[5, 8]","[35, 10]",89466ec184c3899ab4fef5a00de1a314,1244.0,1,13,45,780,825,1559792016.054073
1,SFO,San Francisco,FCO,Rome,1,55,"[1, 11]","[55, 35]",a22453b30ada4e87975d095e796ee431,1320.0,1,12,90,720,810,1559792016.054073
2,FCO,Rome,SFO,San Francisco,4,29,"[4, 8]","[29, 55]",adf4edfccbc7394ffcfc203fedd57cdd,2079.0,1,12,84,720,804,1559792016.054073
3,SFO,San Francisco,FCO,Rome,10,25,"[10, 4]","[25, 38]",be45f7b9c37b1efeb65a16c6dd0f31c0,2079.0,1,14,63,840,903,1559792016.054073
4,FCO,Rome,SFO,San Francisco,4,36,"[4, 9]","[36, 39]",5bef20a4555e6adc26376eeb52e22e3b,12767.0,1,13,75,780,855,1559792016.054073
5,FCO,Rome,SFO,San Francisco,4,15,"[4, 9]","[15, 30]",acf2c3369a506961f122cdebada602b4,1261.0,1,13,45,780,825,1559792016.054073
6,FCO,Rome,SFO,San Francisco,5,0,"[5, 8]","[0, 15]",0d78cec14768b8f31817a736acc07f4e,1260.0,1,13,15,780,795,1559792016.054073
7,SFO,San Francisco,FCO,Rome,1,40,"[1, 11]","[40, 50]",420c0be4878164261ecaf337144ecd12,7100.0,1,12,90,720,810,1559792016.054073
8,FCO,Rome,SFO,San Francisco,10,20,"[10, 2]","[20, 10]",38b7a9f393191670af213ef82d066f98,1275.0,1,12,30,720,750,1559792016.054073
9,FCO,Rome,SFO,San Francisco,4,56,"[4, 8]","[56, 15]",89f81206aeb936aeca0e14a776657324,3834.0,1,12,71,720,791,1559792016.054073
10,FCO,Rome,SFO,San Francisco,10,15,"[10, 3]","[15, 10]",3986cd2acafd652a7702706f8c173dd7,1505.0,1,13,25,780,805,1559792016.054073
11,FCO,Rome,SFO,San Francisco,4,29,"[4, 8]","[29, 55]",d447a14108efb15dbade04558bc070d4,3941.0,1,12,84,720,804,1559792016.054073
12,SFO,San Francisco,FCO,Rome,2,35,"[2, 11]","[35, 20]",9843ab22fc64535049b751ae8fd1ba32,981.0,1,13,55,780,835,1559792016.054073
13,FCO,Rome,SFO,San Francisco,11,5,"[11, 1]","[5, 50]",c7bac3eb73f15f08635319a471698bf7,1274.0,1,12,55,720,775,1559792016.054073
14,FCO,Rome,SFO,San Francisco,4,29,"[4, 8, 2]","[29, 10, 30]",651fc2bd6eae3df92140504f3b7ce436,3956.0,2,14,69,840,909,1559792016.054073
15,FCO,Rome,SFO,San Francisco,10,50,"[10, 1]","[50, 50]",129b2a60487cdc12c2d12650d01328d3,1320.0,1,11,100,660,760,1559792016.054073
16,FCO,Rome,SFO,San Francisco,10,45,"[10, 2]","[45, 5]",22e07cab6549f0ab5b01578343fbd8a2,12780.0,1,12,50,720,770,1559792016.054073
17,FCO,Rome,SFO,San Francisco,3,41,"[3, 10]","[41, 20]",0cf42ba335a5b9a4e6090cbf1537b646,2139.0,1,13,61,780,841,1559792016.054073
18,FCO,Rome,SFO,San Francisco,10,25,"[10, 2]","[25, 35]",540ebadde916835fb9f88d64377da35d,2158.0,1,12,60,720,780,1559792016.054073
19,FCO,Rome,SFO,San Francisco,4,35,"[4, 9]","[35, 39]",ccd92d94892491948b8381b8f8c2eecb,1761.0,1,13,74,780,854,1559792016.054073
20,FCO,Rome,SFO,San Francisco,10,40,"[10, 2]","[40, 30]",542cce51d67b2dbe95685984beef4870,3356.0,1,12,70,720,790,1559792016.054073
21,FCO,Rome,SFO,San Francisco,1,32,"[1, 12]","[32, 0]",65b8a6e73d2416a40c77a9a2977360e7,1752.0,1,13,32,780,812,1559792016.054073
22,FCO,Rome,SFO,San Francisco,4,29,"[4, 8]","[29, 55]",de716e55c2d5da9263ebfc893226e997,2049.0,1,12,84,720,804,1559792016.054073
23,FCO,Rome,SFO,San Francisco,4,50,"[4, 8]","[50, 40]",ca64e247dbb10bf4879df80aab4f55f8,1244.0,1,12,90,720,810,1559792016.054073
24,SFO,San Francisco,FCO,Rome,3,10,"[3, 11]","[10, 0]",00d1898625e872e8c67e31a7d85efe49,1505.0,1,14,10,840,850,1559792016.054073
25,FCO,Rome,SFO,San Francisco,10,50,"[10, 1]","[50, 50]",68a9a541f34ec48093b4f4d6b9a629f4,1291.0,1,11,100,660,760,1559792016.054073
26,SFO,San Francisco,FCO,Rome,2,25,"[2, 10]","[25, 55]",8a284fce512559fd7ba6abf9b24720a9,1485.0,1,12,80,720,800,1559792016.054073
27,FCO,Rome,SFO,San Francisco,11,5,"[11, 1]","[5, 50]",51cc56ecc8e245cfd6cba1cbf3b3a1e3,1291.0,1,12,55,720,775,1559792016.054073
28,SFO,San Francisco,FCO,Rome,2,10,"[2, 11]","[10, 25]",e83cc725fa6efe07aec290a5b08610ee,1583.0,1,13,35,780,815,1559792016.054073
29,FCO,Rome,SFO,San Francisco,4,40,"[4, 9]","[40, 42]",cfcef5c67f0c092e62fe352f45edad82,12767.0,1,13,82,780,862,1559792016.054073
30,FCO,Rome,SFO,San Francisco,10,50,"[10, 1]","[50, 50]",c09e4e285e3d4bb732774223c1d47d5d,1274.0,1,11,100,660,760,1559792016.054073
31,FCO,Rome,SFO,San Francisco,4,40,"[4, 9]","[40, 42]",8fabc9b89962ce8aeb15c67791586fc1,1869.0,1,13,82,780,862,1559792016.054073
32,FCO,Rome,SFO,San Francisco,4,36,"[4, 9]","[36, 39]",a02d7b4fed04300758b33da46797cbee,1244.0,1,13,75,780,855,1559792016.054073
33,FCO,Rome,SFO,San Francisco,4,29,"[4, 8]","[29, 55]",65ee8cad8b9f883fc1ec9711c40d91cc,1556.0,1,12,84,720,804,1559792016.054073
34,FCO,Rome,SFO,San Francisco,11,5,"[11, 1]","[5, 50]",499f22b703ea0780dbe7ab48f0fa72a2,1320.0,1,12,55,720,775,1559792016.054073
35,FCO,Rome,SFO,San Francisco,5,28,"[5, 7]","[28, 45]",83ce75d0848779e33c6669a38e1b6676,1239.0,1,12,73,720,793,1559792016.054073
36,FCO,Rome,SFO,San Francisco,10,40,"[10, 3]","[40, 25]",894d371f5769b2f0e78d0d2c7c7540ad,1245.0,1,13,65,780,845,1559792016.054073
37,FCO,Rome,SFO,San Francisco,11,10,"[11, 2]","[10, 55]",655d0122ae714c14fada16725388ba13,1481.0,1,13,65,780,845,1559792016.054073
38,FCO,Rome,SFO,San Francisco,4,36,"[4, 8, 2]","[36, 30, 10]",dc4341033be017b74fe7f434b3d28056,1485.0,2,14,76,840,916,1559792016.054073
39,FCO,Rome,SFO,San Francisco,4,56,"[4, 8]","[56, 15]",87bf687f1c71c7e716cb3ace9e595304,1390.0,1,12,71,720,791,1559792016.054073
40,FCO,Rome,SFO,San Francisco,11,55,"[11, 1]","[55, 20]",4f8aed2df793c9c2e1a72d6c73ce208e,1306.0,1,12,75,720,795,1559792016.054073
41,FCO,Rome,SFO,San Francisco,13,0,"[13, 2]","[0, 40]",17c86319ee4c70d717ab25f07d58b226,1253.0,1,15,40,900,940,1559792016.054073
42,FCO,Rome,SFO,San Francisco,5,33,"[5, 7, 2]","[33, 10, 30]",48bea28da1fc6118d6e615edd067ab3c,1267.0,2,14,73,840,913,1559792016.054073
43,FCO,Rome,SFO,San Francisco,3,44,"[3, 8, 2]","[44, 15, 5]",a4f446f19c7128ef386a6b60ffff906d,3963.0,2,13,64,780,844,1559792016.054073
44,FCO,Rome,SFO,San Francisco,4,35,"[4, 9]","[35, 39]",67832ab537839b99b293f45fa31b8350,12767.0,1,13,74,780,854,1559792016.054073
45,FCO,Rome,SFO,San Francisco,1,31,"[1, 10, 2]","[31, 25, 10]",127b7430886e7ac03850618f8807e8e8,2176.0,2,13,66,780,846,1559792016.054073
46,FCO,Rome,SFO,San Francisco,4,29,"[4, 8]","[29, 55]",ea2ddd941d0a2d6e27a46cc5538e88c6,7100.0,1,12,84,720,804,1559792016.054073
47,SFO,San Francisco,FCO,Rome,1,50,"[1, 12]","[50, 50]",643f42a2b87cf2632793772f76e3f165,1239.0,1,13,100,780,880,1559792016.054073
48,FCO,Rome,SFO,San Francisco,4,15,"[4, 9]","[15, 30]",7e51ab079092f3600b7f7187733790a7,1628.0,1,13,45,780,825,1559792016.054073
49,SFO,San Francisco,FCO,Rome,12,5,"[12, 3]","[5, 44]",2ae5661e40f5922a4f255a83fce83795,2049.0,1,15,49,900,949,1559792016.054073
50,FCO,Rome,SFO,San Francisco,10,50,"[10, 1, 1]","[50, 25, 40]",2122690eb481360acdada0462b805860,1382.0,2,12,115,720,835,1559792016.054073
51,FCO,Rome,SFO,San Francisco,10,40,"[10, 2]","[40, 30]",87a16a8a462a870e69f9f0b6ce696e64,981.0,1,12,70,720,790,1559792016.054073
52,FCO,Rome,SFO,San Francisco,10,50,"[10, 1]","[50, 35]",bbc73e4cee4fac7ab1f734dde8d70e7a,1273.0,1,11,85,660,745,1559792016.054073
53,FCO,Rome,SFO,San Francisco,10,45,"[10, 2]","[45, 5]",229ffce33220220b538b5ca715ce4ed0,1583.0,1,12,50,720,770,1559792016.054073
