,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
0,GIG,Rio de Janeiro,SFO,San Francisco,5,35,"[5, 9, 1]","[35, 40, 0]",25027a8f3c19b09b648c778c7da8cc54,1650.0,2,15,75,900,975,1559792913.891712
1,SFO,San Francisco,GIG,Rio de Janeiro,7,17,"[7, 7]","[17, 33]",35274f8fefc9398f943e7aa309eaa962,1102.0,1,14,50,840,890,1559792913.891712
2,GIG,Rio de Janeiro,SFO,San Francisco,5,47,"[5, 8, 1]","[47, 25, 10]",23746c2d87c3ac39d8b61131ea23da97,1784.0,2,14,82,840,922,1559792913.891712
3,GIG,Rio de Janeiro,SFO,San Francisco,3,47,"[3, 3, 8]","[47, 1, 25]",2964b6de6f5d9b8e600927429705ce89,1776.0,2,14,73,840,913,1559792913.891712
4,GIG,Rio de Janeiro,SFO,San Francisco,5,46,"[5, 8, 1]","[46, 25, 10]",c6faaaa72e575aedaaa15352b0bf014c,1524.0,2,14,81,840,921,1559792913.891712
5,SFO,San Francisco,GIG,Rio de Janeiro,1,50,"[1, 7, 6]","[50, 50, 2]",176f330b8e7e7a065c9014bc9238882f,1346.0,2,14,102,840,942,1559792913.891712
6,GIG,Rio de Janeiro,SFO,San Francisco,5,46,"[5, 8, 1]","[46, 25, 10]",bcf1ea81ca9e6dea3c8296f5f7ffba52,1459.0,2,14,81,840,921,1559792913.891712
7,GIG,Rio de Janeiro,SFO,San Francisco,4,29,"[4, 3, 8]","[29, 11, 25]",3f84974662e018cc0321d241831447a2,1776.0,2,15,65,900,965,1559792913.891712
8,GIG,Rio de Janeiro,SFO,San Francisco,5,50,"[5, 8, 1]","[50, 25, 10]",e121931e578ea305c1d9940604dd7967,1784.0,2,14,85,840,925,1559792913.891712
9,GIG,Rio de Janeiro,SFO,San Francisco,5,38,"[5, 2, 6]","[38, 59, 15]",9e645a908d18066b2840fab39695d56a,1740.0,2,13,112,780,892,1559792913.891712
10,GIG,Rio de Janeiro,SFO,San Francisco,7,15,"[7, 7]","[15, 10]",62ac564aa9bb73b00be6a3c36f9c908f,1102.0,1,14,25,840,865,1559792913.891712
11,GIG,Rio de Janeiro,SFO,San Francisco,5,21,"[5, 2, 8]","[21, 19, 25]",3d18b031d09f1c9f29a5387bed18f6fe,1454.0,2,15,65,900,965,1559792913.891712
12,GIG,Rio de Janeiro,SFO,San Francisco,5,46,"[5, 8, 1]","[46, 25, 10]",792d3dcb5c592186290f99273b69b695,1784.0,2,14,81,840,921,1559792913.891712
13,GIG,Rio de Janeiro,SFO,San Francisco,5,50,"[5, 8, 1]","[50, 30, 0]",212eecfc9c918cf0f023ba424a3a2dd1,1784.0,2,14,80,840,920,1559792913.891712
14,GIG,Rio de Janeiro,SFO,San Francisco,5,50,"[5, 8, 1]","[50, 25, 5]",ec6341992700ada0235aa9749dd7aad0,1784.0,2,14,80,840,920,1559792913.891712
15,GIG,Rio de Janeiro,SFO,San Francisco,7,15,"[7, 7]","[15, 11]",24f84dcd9a237709ba6a9943cbe7772e,1102.0,1,14,26,840,866,1559792913.891712
16,GIG,Rio de Janeiro,SFO,San Francisco,5,50,"[5, 8, 1]","[50, 30, 0]",e259ff135b3c9462e5c840e748e268ae,1784.0,2,14,80,840,920,1559792913.891712
17,GIG,Rio de Janeiro,SFO,San Francisco,5,38,"[5, 4, 4]","[38, 4, 55]",0cdae882a3ce5b0fea05aeedaf9481c4,976.0,2,13,97,780,877,1559792913.891712
18,GIG,Rio de Janeiro,SFO,San Francisco,5,12,"[5, 1, 8]","[12, 12, 25]",9b670d49ec67f70fb10e34c7bba9d79d,1776.0,2,14,49,840,889,1559792913.891712
19,GIG,Rio de Janeiro,SFO,San Francisco,5,14,"[5, 2, 8]","[14, 16, 25]",bc4b8698dba4a4ddf3735bafeecd06c7,1776.0,2,15,55,900,955,1559792913.891712
20,GIG,Rio de Janeiro,SFO,San Francisco,5,47,"[5, 8, 1]","[47, 25, 10]",4bb81bc262d9990aefb5319a33b49e54,1346.0,2,14,82,840,922,1559792913.891712
21,SFO,San Francisco,GIG,Rio de Janeiro,6,35,"[6, 7, 1]","[35, 45, 30]",5f52bedf462d3af5a416dfdae9382e23,937.0,2,14,110,840,950,1559792913.891712
22,GIG,Rio de Janeiro,SFO,San Francisco,5,47,"[5, 8, 1]","[47, 25, 10]",0307ce2231b0cd6f03fab28b193fc3b4,1524.0,2,14,82,840,922,1559792913.891712
23,GIG,Rio de Janeiro,SFO,San Francisco,4,45,"[4, 9, 1]","[45, 30, 0]",fa54dd6a6207aa660a52c121a877eccb,2472.0,2,14,75,840,915,1559792913.891712
24,GIG,Rio de Janeiro,SFO,San Francisco,5,47,"[5, 8, 1]","[47, 25, 10]",454d0cb7261f5e2265eabfc397d00e27,1784.0,2,14,82,840,922,1559792913.891712
25,GIG,Rio de Janeiro,SFO,San Francisco,5,21,"[5, 2, 8]","[21, 22, 25]",6de3649fa735fce895c9b934be9084d3,1072.0,2,15,68,900,968,1559792913.891712
26,GIG,Rio de Janeiro,SFO,San Francisco,5,33,"[5, 3, 8]","[33, 9, 25]",36453dcf8fdaf94e7afdb047e6a722d1,1776.0,2,16,67,960,1027,1559792913.891712
27,GIG,Rio de Janeiro,SFO,San Francisco,5,50,"[5, 7, 3]","[50, 15, 10]",577c4ea19622ce4fd98acb0c2eac88a6,1784.0,2,15,75,900,975,1559792913.891712
28,GIG,Rio de Janeiro,SFO,San Francisco,5,50,"[5, 8, 1]","[50, 30, 5]",f972b181482b4e82a378d08d3fc06eb8,1784.0,2,14,85,840,925,1559792913.891712
29,SFO,San Francisco,GIG,Rio de Janeiro,5,45,"[5, 4, 6]","[45, 24, 5]",b7071ca94b51e63ad52e3529be9b3ee1,1541.0,2,15,74,900,974,1559792913.891712
30,GIG,Rio de Janeiro,SFO,San Francisco,3,41,"[3, 3, 8]","[41, 1, 25]",0c0b104d4dbb543bb909033b4abb0870,1776.0,2,14,67,840,907,1559792913.891712
31,GIG,Rio de Janeiro,SFO,San Francisco,5,50,"[5, 8, 1]","[50, 30, 10]",bb1a4de8574b6affa53e81773e4c93a5,1784.0,2,14,90,840,930,1559792913.891712
32,GIG,Rio de Janeiro,SFO,San Francisco,1,44,"[1, 5, 8]","[44, 11, 25]",9fb36319d79d6cddfab2b8f5c2ca9dc6,1520.0,2,14,80,840,920,1559792913.891712
33,GIG,Rio de Janeiro,SFO,San Francisco,3,47,"[3, 10, 1]","[47, 15, 0]",8cd0d8bc6e91447097b357aa3c627ebe,1784.0,2,14,62,840,902,1559792913.891712
34,GIG,Rio de Janeiro,SFO,San Francisco,5,23,"[5, 8, 1]","[23, 50, 5]",cd8f10a3358fcd5e1720580350f27cd8,1983.0,2,14,78,840,918,1559792913.891712
