,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
0,IST,Istanbul,SFO,San Francisco,10,25,"[10, 4]","[25, 15]",aae6b757b5b0ae1909ef0cfdfed160eb,1682.0,1,14,40,840,880,1559792433.4022489
1,SFO,San Francisco,IST,Istanbul,4,30,"[4, 11]","[30, 5]",a23f21ff9767b00b5c1bddb5c054288b,1862.0,1,15,35,900,935,1559792433.4022489
2,IST,Istanbul,SFO,San Francisco,11,5,"[11, 3]","[5, 5]",441d42cd23c8d702a11aef166b9968ce,3450.0,1,14,10,840,850,1559792433.4022489
3,IST,Istanbul,SFO,San Francisco,4,56,"[4, 7, 3]","[56, 40, 5]",0584fdb5db14fc8af426d9efad1791e9,3196.0,2,14,101,840,941,1559792433.4022489
4,IST,Istanbul,SFO,San Francisco,11,0,"[11, 3]","[0, 5]",8b14205e070d28a52f5265eb8aabf223,3450.0,1,14,5,840,845,1559792433.4022489
5,IST,Istanbul,SFO,San Francisco,10,25,"[10, 4]","[25, 15]",328cc76cb5fbc6c02a6528f9af3f958b,3457.0,1,14,40,840,880,1559792433.4022489
6,SFO,San Francisco,IST,Istanbul,13,25,[13],[25],05de85a477f37fca285201d8f1804a0f,1365.0,0,13,25,780,805,1559792433.4022489
7,IST,Istanbul,SFO,San Francisco,10,20,"[10, 3]","[20, 35]",a3fd9967a8a2272349a0c9efabd98a92,1424.0,1,13,55,780,835,1559792433.4022489
8,IST,Istanbul,SFO,San Francisco,10,20,"[10, 3]","[20, 20]",dd21ba79a39a5b41d81c6db6afc86c5c,1569.0,1,13,40,780,820,1559792433.4022489
9,IST,Istanbul,SFO,San Francisco,11,10,"[11, 4]","[10, 35]",7aecfdd66fca3f17ff46c9858df482b1,2954.0,1,15,45,900,945,1559792433.4022489
10,IST,Istanbul,SFO,San Francisco,11,5,"[11, 3]","[5, 5]",9d5a2522f440b602058e0258d8569c45,3450.0,1,14,10,840,850,1559792433.4022489
11,IST,Istanbul,SFO,San Francisco,10,25,"[10, 4]","[25, 15]",ace10a7001246396e5a22565a97cc8db,1921.0,1,14,40,840,880,1559792433.4022489
12,IST,Istanbul,SFO,San Francisco,10,20,"[10, 3]","[20, 35]",7fbe1fa0c2c469e29c17a7a4afe1325b,1339.0,1,13,55,780,835,1559792433.4022489
13,SAW,Istanbul,SFO,San Francisco,1,32,"[1, 12, 2]","[32, 0, 35]",28db91177ff674d262202ffa5ba3b70c,1625.0,2,15,67,900,967,1559792433.4022489
14,SFO,San Francisco,IST,Istanbul,3,15,"[3, 8, 5]","[15, 5, 31]",05f12d2d98c0c7e1fd9756fc3ca611f6,1651.0,2,16,51,960,1011,1559792433.4022489
15,IST,Istanbul,SFO,San Francisco,3,41,"[3, 9, 4]","[41, 10, 10]",7e37cd3cc95cce681c025f682bc5d3d2,1862.0,2,16,61,960,1021,1559792433.4022489
16,IST,Istanbul,SFO,San Francisco,5,0,"[5, 7, 3]","[0, 35, 5]",bbd049e0e4058ec5001e712e7e552b9b,3095.0,2,15,40,900,940,1559792433.4022489
17,IST,Istanbul,SFO,San Francisco,10,50,"[10, 3]","[50, 0]",3b50e5977c1882adff03857ab4ebadca,1634.0,1,13,50,780,830,1559792433.4022489
18,IST,Istanbul,SFO,San Francisco,10,55,"[10, 3]","[55, 20]",1f95cb83c43faeb599cf5a25e80f3854,1344.0,1,13,75,780,855,1559792433.4022489
19,IST,Istanbul,SFO,San Francisco,4,52,"[4, 8, 3]","[52, 15, 35]",ae23a343145c428c5c2b94ee7bbd6110,1608.0,2,15,102,900,1002,1559792433.4022489
20,IST,Istanbul,SFO,San Francisco,4,56,"[4, 7, 3]","[56, 40, 5]",57d0cb6bec90dd757057f68b63977a62,5354.0,2,14,101,840,941,1559792433.4022489
21,IST,Istanbul,SFO,San Francisco,10,20,"[10, 3]","[20, 20]",76c1d803f88a66f6c0725f99f0010db6,9903.0,1,13,40,780,820,1559792433.4022489
22,SFO,San Francisco,IST,Istanbul,4,20,"[4, 11]","[20, 5]",c63fbf1fdc4ebfca3a1278c22e53b83e,5354.0,1,15,25,900,925,1559792433.4022489
23,IST,Istanbul,SFO,San Francisco,10,45,"[10, 3]","[45, 35]",35d1bf5cee424804fcb03cb3ac04890b,1439.0,1,13,80,780,860,1559792433.4022489
24,IST,Istanbul,SFO,San Francisco,11,5,"[11, 3]","[5, 0]",d70fa2d0af8b060a0c57c6ef85adbe34,3450.0,1,14,5,840,845,1559792433.4022489
25,IST,Istanbul,SFO,San Francisco,11,20,"[11, 2]","[20, 35]",f442998aaf7ff883dd4c1ee900657c16,3486.0,1,13,55,780,835,1559792433.4022489
26,IST,Istanbul,SFO,San Francisco,11,0,"[11, 3]","[0, 5]",48fbe6861b72264a1500709807ca46ac,3450.0,1,14,5,840,845,1559792433.4022489
27,IST,Istanbul,SFO,San Francisco,10,25,"[10, 3]","[25, 20]",0b2552dc3e211f79b7e8dda0b7ea1eff,3430.0,1,13,45,780,825,1559792433.4022489
28,IST,Istanbul,SFO,San Francisco,10,50,"[10, 3]","[50, 5]",ead526c21bae9547032608d6384a4ec4,3450.0,1,13,55,780,835,1559792433.4022489
29,IST,Istanbul,SFO,San Francisco,3,44,"[3, 8, 3]","[44, 15, 20]",2106093eff4bafa2323a7a3e0bb6f74d,9907.0,2,14,79,840,919,1559792433.4022489
30,IST,Istanbul,SFO,San Francisco,10,20,"[10, 3]","[20, 35]",84c1ff13866d350068cecbd1a03c45d2,10452.0,1,13,55,780,835,1559792433.4022489
31,IST,Istanbul,SFO,San Francisco,3,36,"[3, 8, 3]","[36, 13, 20]",ac3c496d5ba36c6309a349ac043d2ecb,1343.0,2,14,69,840,909,1559792433.4022489
32,IST,Istanbul,SFO,San Francisco,3,41,"[3, 9, 4]","[41, 10, 10]",a1f3e80c33064516d7187148320932f6,3462.0,2,16,61,960,1021,1559792433.4022489
33,IST,Istanbul,SFO,San Francisco,4,56,"[4, 7, 3]","[56, 35, 5]",ff4c9b82e5e8581b5aae55844797b1d8,3095.0,2,14,96,840,936,1559792433.4022489
34,IST,Istanbul,SFO,San Francisco,10,20,"[10, 3]","[20, 20]",d0a20d73170eecabce9d6d817a8bbbc3,9962.0,1,13,40,780,820,1559792433.4022489
35,IST,Istanbul,SFO,San Francisco,10,25,"[10, 4]","[25, 15]",1ac525b17a9e60a96a4ee7b354ca739a,1996.0,1,14,40,840,880,1559792433.4022489
36,IST,Istanbul,SFO,San Francisco,2,37,"[2, 9, 3]","[37, 35, 5]",51fc95dd9a22282e8bb15288991cad80,1937.0,2,14,77,840,917,1559792433.4022489
37,SAW,Istanbul,SFO,San Francisco,10,25,"[10, 3]","[25, 25]",4a28ad39c1c478d811b88688656f5427,3479.0,1,13,50,780,830,1559792433.4022489
38,IST,Istanbul,SFO,San Francisco,10,20,"[10, 3]","[20, 20]",f61e46c2a31643fc5ca13515fab190a8,1572.0,1,13,40,780,820,1559792433.4022489
39,IST,Istanbul,SFO,San Francisco,11,20,"[11, 2]","[20, 35]",4ed9af50c4a2ccf7b512db2e84b58b96,3437.0,1,13,55,780,835,1559792433.4022489
40,SFO,San Francisco,IST,Istanbul,4,20,"[4, 11]","[20, 5]",3fd71cd20c3573726cbd17cd8567c07b,3457.0,1,15,25,900,925,1559792433.4022489
41,IST,Istanbul,SFO,San Francisco,10,25,"[10, 4]","[25, 15]",b3de32c8140c1280d6d6df5544fc906f,3457.0,1,14,40,840,880,1559792433.4022489
42,IST,Istanbul,SFO,San Francisco,3,41,"[3, 9, 4]","[41, 10, 10]",1714e4d6f0afd01a292c2c877ea62e5f,1637.0,2,16,61,960,1021,1559792433.4022489
43,IST,Istanbul,SFO,San Francisco,10,50,"[10, 3]","[50, 5]",e3e860493ea31d01e503bf94affbee68,1932.0,1,13,55,780,835,1559792433.4022489
44,IST,Istanbul,SFO,San Francisco,4,34,"[4, 7, 3]","[34, 43, 35]",821ed2a3b5538fec2c72aa209d15ddcd,10456.0,2,14,112,840,952,1559792433.4022489
45,IST,Istanbul,SFO,San Francisco,11,0,"[11, 3]","[0, 5]",f8b3d13e71edda4c67610c70b44645d9,1651.0,1,14,5,840,845,1559792433.4022489
46,IST,Istanbul,SFO,San Francisco,10,20,"[10, 3]","[20, 20]",396e7699b29f2bd69b15e1ef139671e7,1339.0,1,13,40,780,820,1559792433.4022489
47,IST,Istanbul,SFO,San Francisco,13,0,[13],[0],3650602c588ff74094769579b2e5aed8,1365.0,0,13,0,780,780,1559792433.4022489
48,SFO,San Francisco,IST,Istanbul,3,15,"[3, 8, 5]","[15, 5, 25]",427e90102b594faf6086070182fb9d11,1625.0,2,16,45,960,1005,1559792433.4022489
49,IST,Istanbul,SFO,San Francisco,4,56,"[4, 7, 3]","[56, 40, 5]",f60fd3690bf032ad94321c2a49904fed,2127.0,2,14,101,840,941,1559792433.4022489
50,IST,Istanbul,SFO,San Francisco,3,44,"[3, 8, 3]","[44, 15, 20]",e41bcb6b9c22abeb75d3b7a5dc6e14ba,1589.0,2,14,79,840,919,1559792433.4022489
51,SFO,San Francisco,IST,Istanbul,4,55,"[4, 12]","[55, 20]",22cb1e8abd0141a65372d40252f38247,9903.0,1,16,75,960,1035,1559792433.4022489
52,IST,Istanbul,SFO,San Francisco,4,34,"[4, 7, 3]","[34, 43, 35]",1c81bd6345a754a0bf4a8c773eed8ac4,1343.0,2,14,112,840,952,1559792433.4022489
53,IST,Istanbul,SFO,San Francisco,11,5,"[11, 3]","[5, 5]",177eaca3575147e70d8bef23b53f75b5,1651.0,1,14,10,840,850,1559792433.4022489
54,IST,Istanbul,SFO,San Francisco,3,36,"[3, 8, 3]","[36, 15, 20]",6ee1e88589ce0ece7872df91e8228d44,1438.0,2,14,71,840,911,1559792433.4022489
55,IST,Istanbul,SFO,San Francisco,4,39,"[4, 7, 3]","[39, 48, 20]",69db86397da8506c900c732e577e368b,1625.0,2,14,107,840,947,1559792433.4022489
56,SFO,San Francisco,IST,Istanbul,4,20,"[4, 11]","[20, 5]",07badeadd3eb4e6e7bb03a71220736fd,1637.0,1,15,25,900,925,1559792433.4022489
57,SFO,San Francisco,IST,Istanbul,3,35,"[3, 10]","[35, 55]",a94f627f2df4392e3e6cf8bfcf8374e7,1339.0,1,13,90,780,870,1559792433.4022489
