,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
0,NAN,Nadi,SFO,San Francisco,14,45,"[14, 10]","[45, 10]",6e64006a79287d91e53cabf37dda9d9f,1996.0,1,24,55,1440,1495,1559791731.633971
1,SFO,San Francisco,NAN,Nadi,10,45,"[10, 1]","[45, 26]",0608b56a1b4cf9ef3b44a623c665958e,1236.0,1,11,71,660,731,1559791731.633971
2,NAN,Nadi,SFO,San Francisco,12,55,"[12, 4, 5]","[55, 50, 10]",28447a888f32d23c464b66e20d0e9db9,3008.0,2,21,115,1260,1375,1559791731.633971
3,NAN,Nadi,SFO,San Francisco,13,10,"[13, 3]","[10, 0]",181c4750fffdd79d2b6b1798ac32bfe7,2371.0,1,16,10,960,970,1559791731.633971
4,NAN,Nadi,SFO,San Francisco,12,55,"[12, 3]","[55, 10]",ab8a17bce3cd813b7f873a2f34160646,3980.0,1,15,65,900,965,1559791731.633971
5,NAN,Nadi,SFO,San Francisco,1,34,"[1, 11]","[34, 20]",d2c76ebd6115a2783c43d6eee7035ae0,1147.0,1,12,54,720,774,1559791731.633971
6,NAN,Nadi,SFO,San Francisco,1,34,"[1, 12, 3]","[34, 50, 0]",1d7067eda0dd3dd610271f2480bb9d5c,2029.0,2,16,84,960,1044,1559791731.633971
7,SFO,San Francisco,NAN,Nadi,3,10,"[3, 3, 13]","[10, 40, 35]",ee8d27a8c5cd9bbffdd0d1b1f3330326,4673.0,2,19,85,1140,1225,1559791731.633971
8,NAN,Nadi,SFO,San Francisco,13,10,"[13, 3]","[10, 0]",c9028f1e9629be67c4db6e86c6934047,3949.0,1,16,10,960,970,1559791731.633971
9,SFO,San Francisco,NAN,Nadi,10,45,"[10, 1]","[45, 24]",420a2ce09855f76b8952a5a7144f3926,1225.0,1,11,69,660,729,1559791731.633971
10,NAN,Nadi,SFO,San Francisco,12,10,"[12, 10]","[10, 10]",81cc4a679473f6cddddbdd93124562a6,2837.0,1,22,20,1320,1340,1559791731.633971
11,NAN,Nadi,SFO,San Francisco,14,45,"[14, 10]","[45, 10]",7a5c3007df09fb0621247c30c82863e7,1900.0,1,24,55,1440,1495,1559791731.633971
12,SFO,San Francisco,NAN,Nadi,3,10,"[3, 12]","[10, 15]",999bdd83b2286b6946474bb3185a85dc,1950.0,1,15,25,900,925,1559791731.633971
13,NAN,Nadi,SFO,San Francisco,13,10,"[13, 3]","[10, 10]",7e65c31533fc75ba0d9dfa98f776ab3b,3311.0,1,16,20,960,980,1559791731.633971
14,NAN,Nadi,SFO,San Francisco,1,37,"[1, 15, 4]","[37, 5, 5]",d3e8c7e96513c681326f2530c0cfa7d2,1179.0,2,20,47,1200,1247,1559791731.633971
15,NAN,Nadi,SFO,San Francisco,1,37,"[1, 11]","[37, 20]",3d42f9a8c8c26704fb29087ad80d1a3c,4179.0,1,12,57,720,777,1559791731.633971
16,NAN,Nadi,SFO,San Francisco,14,0,"[14, 10]","[0, 10]",c071880e18902b13e0eeb24a13445003,2011.0,1,24,10,1440,1450,1559791731.633971
17,NAN,Nadi,SFO,San Francisco,5,22,"[5, 6]","[22, 50]",6b907ff18b9263488d477b10ae0a0172,3141.0,1,11,72,660,732,1559791731.633971
18,NAN,Nadi,SFO,San Francisco,2,15,"[2, 11, 10]","[15, 30, 10]",d1b97307f211e8a16174be235bde25e6,2501.0,2,23,55,1380,1435,1559791731.633971
19,NAN,Nadi,SFO,San Francisco,3,29,"[3, 3, 11]","[29, 35, 20]",bd8ee0e99c751e3dd0c1f3aa22bf52f8,3254.0,2,17,84,1020,1104,1559791731.633971
20,NAN,Nadi,SFO,San Francisco,1,37,"[1, 11]","[37, 20]",c79384ee59e3c6de0e7e2554cde3b2ad,1230.0,1,12,57,720,777,1559791731.633971
21,NAN,Nadi,SFO,San Francisco,14,25,"[14, 10]","[25, 10]",85515e5772199d4805add392293c91e0,2123.0,1,24,35,1440,1475,1559791731.633971
22,NAN,Nadi,SFO,San Francisco,2,18,"[2, 11, 10]","[18, 10, 10]",8d7ac1e3fbc01ab839ee99e5672816b9,5286.0,2,23,38,1380,1418,1559791731.633971
23,NAN,Nadi,SFO,San Francisco,5,25,"[5, 9, 10]","[25, 25, 10]",1693d396e20fa3f8c1d3f88e678ec693,2879.0,2,24,60,1440,1500,1559791731.633971
24,NAN,Nadi,SFO,San Francisco,1,37,"[1, 15, 4]","[37, 5, 5]",79e4cabe807aa85c01fdbaded7008fb4,1179.0,2,20,47,1200,1247,1559791731.633971
25,NAN,Nadi,SFO,San Francisco,11,10,[11],[10],67abd8bb29188667e4dda1dc19633133,1052.0,0,11,10,660,670,1559791731.633971
26,NAN,Nadi,SFO,San Francisco,1,37,"[1, 11]","[37, 20]",f4b29f1a2d8b88e19a44ff894ce244c5,2700.0,1,12,57,720,777,1559791731.633971
27,NAN,Nadi,SFO,San Francisco,5,31,"[5, 6]","[31, 50]",72d649f42c62647ec67cb739c931196e,3121.0,1,11,81,660,741,1559791731.633971
28,NAN,Nadi,SFO,San Francisco,14,40,"[14, 3]","[40, 50]",b003253d5773f5c5f1f9ecbde70ea470,3493.0,1,17,90,1020,1110,1559791731.633971
29,SFO,San Francisco,NAN,Nadi,10,30,"[10, 12]","[30, 45]",f2d1b774bcaff68a637a6f1e2a11080c,1326.0,1,22,75,1320,1395,1559791731.633971
30,NAN,Nadi,SFO,San Francisco,1,44,"[1, 11]","[44, 20]",8d6de82fca148871f50ab79e4e849e62,1230.0,1,12,64,720,784,1559791731.633971
31,NAN,Nadi,SFO,San Francisco,12,10,"[12, 10]","[10, 10]",7a500c36dd42434ffd5a9ed8fa2595a2,2496.0,1,22,20,1320,1340,1559791731.633971
32,NAN,Nadi,SFO,San Francisco,13,10,"[13, 3]","[10, 0]",c5c9bc26c15b4f1288f537b9329782ea,4673.0,1,16,10,960,970,1559791731.633971
33,NAN,Nadi,SFO,San Francisco,1,40,"[1, 11]","[40, 20]",a7f3187131c873e04bcf2d552ffc9aab,1088.0,1,12,60,720,780,1559791731.633971
34,NAN,Nadi,SFO,San Francisco,13,10,"[13, 3]","[10, 10]",e32ce55f6252815d53f92499ae7d2d81,3980.0,1,16,20,960,980,1559791731.633971
35,NAN,Nadi,SFO,San Francisco,5,45,"[5, 6]","[45, 50]",0b03bfa9b31dd62f6318e89abf2bf53f,1338.0,1,11,95,660,755,1559791731.633971
36,NAN,Nadi,SFO,San Francisco,1,37,"[1, 14, 4]","[37, 45, 5]",cbfe5721fdcb4c7f0b3090ab8cac15b2,1179.0,2,19,87,1140,1227,1559791731.633971
37,NAN,Nadi,SFO,San Francisco,1,34,"[1, 12, 3]","[34, 50, 0]",8fc7e60270903bb30e256956481fb248,2029.0,2,16,84,960,1044,1559791731.633971
38,NAN,Nadi,SFO,San Francisco,1,39,"[1, 11]","[39, 20]",be8123b23874237be0666a6a148e3c94,2700.0,1,12,59,720,779,1559791731.633971
39,SFO,San Francisco,NAN,Nadi,3,10,"[3, 12]","[10, 10]",aa5d42aed08523e6a0bbe10efd973c90,4752.0,1,15,20,900,920,1559791731.633971
40,NAN,Nadi,SFO,San Francisco,1,42,"[1, 11]","[42, 20]",48622cbf5137b49e7fe9f054ec1b4869,1300.0,1,12,62,720,782,1559791731.633971
41,NAN,Nadi,SFO,San Francisco,5,16,"[5, 6]","[16, 50]",84fbb6ba26865adb366cd2368fd53614,3121.0,1,11,66,660,726,1559791731.633971
42,NAN,Nadi,SFO,San Francisco,1,34,"[1, 11]","[34, 20]",da75c2104fb35b144457cba8b275cfd4,1248.0,1,12,54,720,774,1559791731.633971
43,NAN,Nadi,SFO,San Francisco,1,39,"[1, 11]","[39, 20]",d701462c464072bc68bc8727f1023ae3,4179.0,1,12,59,720,779,1559791731.633971
44,NAN,Nadi,SFO,San Francisco,1,34,"[1, 12, 3]","[34, 50, 0]",7914701c2a8a12a4e42af494f239cb0c,4752.0,2,16,84,960,1044,1559791731.633971
45,NAN,Nadi,SFO,San Francisco,12,30,"[12, 3, 10]","[30, 40, 10]",f9a613085e6ed639dc50e8d75788d72c,4839.0,2,25,80,1500,1580,1559791731.633971
46,SFO,San Francisco,NAN,Nadi,4,20,"[4, 13, 1]","[20, 5, 26]",0a9c323f17ca6f2c48f2f292f77b4a05,1179.0,2,18,51,1080,1131,1559791731.633971
47,NAN,Nadi,SFO,San Francisco,1,32,"[1, 12, 3]","[32, 50, 0]",46440815ec5a94108f9aa11ecacaa085,3316.0,2,16,82,960,1042,1559791731.633971
48,NAN,Nadi,SFO,San Francisco,5,25,"[5, 6]","[25, 50]",574d4c7e60383bf0770c1be68eca2b4b,1282.0,1,11,75,660,735,1559791731.633971
49,NAN,Nadi,SFO,San Francisco,12,55,"[12, 3]","[55, 10]",05b1db1e57ff61ca75edeb9ff44a79e0,3311.0,1,15,65,900,965,1559791731.633971
50,NAN,Nadi,SFO,San Francisco,11,10,[11],[10],c8598f9c73c0b83c1c3c01ed5d746d0e,1225.0,0,11,10,660,670,1559791731.633971
51,NAN,Nadi,SFO,San Francisco,1,34,"[1, 11]","[34, 20]",59dc0b8b6aa2ab8854775d0b6c67e574,2700.0,1,12,54,720,774,1559791731.633971
52,NAN,Nadi,SFO,San Francisco,5,19,"[5, 6]","[19, 50]",83cdd7e894f9d46b5edab8b8fdc2b6f7,3141.0,1,11,69,660,729,1559791731.633971
53,NAN,Nadi,SFO,San Francisco,1,40,"[1, 11]","[40, 20]",5eb9664689e93c6a2cfb8c33bed847ce,1154.0,1,12,60,720,780,1559791731.633971
54,NAN,Nadi,SFO,San Francisco,13,10,"[13, 3]","[10, 0]",5d21e8b60993957a12604015207d4435,0.0,1,16,10,960,970,1559791731.633971
55,NAN,Nadi,SFO,San Francisco,5,25,"[5, 10, 3]","[25, 55, 55]",5218d8f39ce90207fe306c69b9613e1e,2021.0,2,18,135,1080,1215,1559791731.633971
56,NAN,Nadi,SFO,San Francisco,1,37,"[1, 15, 4]","[37, 5, 0]",7c97ea07837b851b0aed8ac8e9c9ee0e,5250.0,2,20,42,1200,1242,1559791731.633971
57,NAN,Nadi,SFO,San Francisco,14,20,"[14, 10]","[20, 10]",61e76c0924a0c982dc54aa0a3fa6ddf3,1326.0,1,24,30,1440,1470,1559791731.633971
58,NAN,Nadi,SFO,San Francisco,1,34,"[1, 11]","[34, 20]",15ee41d6de20c822dcdbf45f88653fa6,1230.0,1,12,54,720,774,1559791731.633971
59,NAN,Nadi,SFO,San Francisco,1,45,"[1, 11]","[45, 20]",5afec63fba074f64370e2727d0232ce6,1230.0,1,12,65,720,785,1559791731.633971
60,NAN,Nadi,SFO,San Francisco,1,32,"[1, 12, 3]","[32, 50, 0]",8ce22a829d624c294b0c6fcb4c4de239,4752.0,2,16,82,960,1042,1559791731.633971
61,NAN,Nadi,SFO,San Francisco,14,55,"[14, 4]","[55, 0]",b9b054bd3c4b4d6d95d6c607291faccc,5245.0,1,18,55,1080,1135,1559791731.633971
62,NAN,Nadi,SFO,San Francisco,1,32,"[1, 12, 3]","[32, 50, 0]",96cc110978ef83e4feff9708c9a333b3,2029.0,2,16,82,960,1042,1559791731.633971
63,NAN,Nadi,SFO,San Francisco,12,55,"[12, 3]","[55, 0]",d09ca1751e2613012463af638a84440b,4673.0,1,15,55,900,955,1559791731.633971
64,SFO,San Francisco,NAN,Nadi,10,45,"[10, 1]","[45, 25]",a4c458f280e1e680218eb3f03521bf19,1900.0,1,11,70,660,730,1559791731.633971
65,NAN,Nadi,SFO,San Francisco,1,40,"[1, 11]","[40, 20]",3a26ce676ab92611c56b5435198e2af3,1088.0,1,12,60,720,780,1559791731.633971
66,NAN,Nadi,SFO,San Francisco,1,45,"[1, 11]","[45, 20]",19dcb18aeb9bf223997a32c793a5e25c,1147.0,1,12,65,720,785,1559791731.633971
67,NAN,Nadi,SFO,San Francisco,13,10,"[13, 3]","[10, 0]",edd69e826b25dc581a62cf6daf084102,3280.0,1,16,10,960,970,1559791731.633971
68,NAN,Nadi,SFO,San Francisco,5,21,"[5, 6]","[21, 50]",29aae931aa0da8564b9aa4c87b697c7f,3121.0,1,11,71,660,731,1559791731.633971
69,NAN,Nadi,SFO,San Francisco,1,34,"[1, 12, 3]","[34, 50, 0]",effe58fe6552beade3cfac399d6fa814,4752.0,2,16,84,960,1044,1559791731.633971
70,SFO,San Francisco,NAN,Nadi,6,35,"[6, 5]","[35, 15]",863806fb2b531a3c71d2008c809d6260,1052.0,1,11,50,660,710,1559791731.633971
71,NAN,Nadi,SFO,San Francisco,14,55,"[14, 3]","[55, 50]",594b54c7f26833385ccaf7c1e6bec599,5663.0,1,17,105,1020,1125,1559791731.633971
72,NAN,Nadi,SFO,San Francisco,14,50,"[14, 10]","[50, 10]",654452dab933e02c44c7f297d0e53b1e,1900.0,1,24,60,1440,1500,1559791731.633971
73,NAN,Nadi,SFO,San Francisco,14,40,"[14, 4]","[40, 0]",f012b76f82fccca2010a66c90bad626e,2316.0,1,18,40,1080,1120,1559791731.633971
74,NAN,Nadi,SFO,San Francisco,1,33,"[1, 11]","[33, 20]",0ca2bdcce666e6e48f45532683010243,1230.0,1,12,53,720,773,1559791731.633971
75,NAN,Nadi,SFO,San Francisco,1,42,"[1, 11]","[42, 20]",e006bf7a5a5e698e41bf35e192ec6e3d,1236.0,1,12,62,720,782,1559791731.633971
76,NAN,Nadi,SFO,San Francisco,14,50,"[14, 10]","[50, 10]",11d9f89a56a5408a1842ef92f41b03a0,1996.0,1,24,60,1440,1500,1559791731.633971
77,NAN,Nadi,SFO,San Francisco,1,37,"[1, 14, 4]","[37, 45, 5]",75c00643bb56e8cf718c08a77067fb0f,1179.0,2,19,87,1140,1227,1559791731.633971
78,NAN,Nadi,SFO,San Francisco,10,45,"[10, 8]","[45, 40]",918eceb290c1ac0f6f27c88a9c724968,4711.0,1,18,85,1080,1165,1559791731.633971
79,NAN,Nadi,SFO,San Francisco,2,24,"[2, 14, 3]","[24, 40, 30]",e8656318414bc2c5fa064be86540e584,2206.0,2,19,94,1140,1234,1559791731.633971
80,NAN,Nadi,SFO,San Francisco,14,25,"[14, 10]","[25, 10]",2db48154e3e92799a609d12bc7e82d8c,4615.0,1,24,35,1440,1475,1559791731.633971
81,NAN,Nadi,SFO,San Francisco,12,55,"[12, 3]","[55, 0]",3e4f5260c54eff8fb7bb748bad3730ce,3980.0,1,15,55,900,955,1559791731.633971
82,NAN,Nadi,SFO,San Francisco,2,15,"[2, 11, 10]","[15, 30, 10]",39f965de027b58f7419750788bbb77ee,2501.0,2,23,55,1380,1435,1559791731.633971
83,SFO,San Francisco,NAN,Nadi,6,35,"[6, 5]","[35, 10]",9919ee91830995f3fd9887fe6e033cac,1154.0,1,11,45,660,705,1559791731.633971
84,NAN,Nadi,SFO,San Francisco,1,40,"[1, 11]","[40, 20]",4c915758a8517f88ec30f55fa0099dd4,3212.0,1,12,60,720,780,1559791731.633971
85,NAN,Nadi,SFO,San Francisco,1,34,"[1, 12, 3]","[34, 50, 0]",4ab8332aaf48225f3ecd934781dbdcad,4752.0,2,16,84,960,1044,1559791731.633971
86,NAN,Nadi,SFO,San Francisco,5,45,"[5, 6]","[45, 50]",4aa24f17913ea6f4f528aaf05a49070e,1372.0,1,11,95,660,755,1559791731.633971
87,NAN,Nadi,SFO,San Francisco,1,34,"[1, 12, 3]","[34, 50, 0]",ccb680a496c4391b792f269da4e98595,4752.0,2,16,84,960,1044,1559791731.633971
88,NAN,Nadi,SFO,San Francisco,5,25,"[5, 6]","[25, 50]",87fcc12ef6eb4ca39ba6c0edc3c54dab,3121.0,1,11,75,660,735,1559791731.633971
