,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
0,NRT,Tokyo,SFO,San Francisco,2,24,"[2, 10]","[24, 0]",5daf7984b933ca4eec605d7d315b6e53,1793.0,1,12,24,720,744,1559792268.4028642
1,NRT,Tokyo,SFO,San Francisco,2,24,"[2, 10]","[24, 20]",77e3b60520c8a71e89ce0988ff275113,10791.0,1,12,44,720,764,1559792268.4028642
2,NRT,Tokyo,SFO,San Francisco,12,50,"[12, 3]","[50, 25]",c10b95a716bb009b085f1b9cf3693609,8400.0,1,15,75,900,975,1559792268.4028642
3,NRT,Tokyo,SFO,San Francisco,14,45,"[14, 4]","[45, 25]",e8f5d48e32e033da46384195fc0f8e43,1349.0,1,18,70,1080,1150,1559792268.4028642
4,NRT,Tokyo,SFO,San Francisco,1,39,"[1, 11]","[39, 15]",aa919affdfa86340da73e09ee7582ca1,13317.0,1,12,54,720,774,1559792268.4028642
5,NRT,Tokyo,SFO,San Francisco,4,55,"[4, 4, 10]","[55, 9, 50]",5fc0f4bcaed8f216ddd8755e438ed210,5946.0,2,18,114,1080,1194,1559792268.4028642
6,NRT,Tokyo,SFO,San Francisco,5,28,"[5, 13]","[28, 5]",a396f91c564d743d16b2ec068987e33d,8766.0,1,18,33,1080,1113,1559792268.4028642
7,NRT,Tokyo,SFO,San Francisco,1,39,"[1, 11]","[39, 15]",7b913b16fb22916c2797d64e7b5a0079,13317.0,1,12,54,720,774,1559792268.4028642
8,NRT,Tokyo,SFO,San Francisco,14,0,"[14, 4]","[0, 30]",aebe7aff1a874936c3afc76343664e2d,1453.0,1,18,30,1080,1110,1559792268.4028642
9,NRT,Tokyo,SFO,San Francisco,12,50,"[12, 3]","[50, 25]",96333a49b72696630043b46260f554d0,8400.0,1,15,75,900,975,1559792268.4028642
10,NRT,Tokyo,SFO,San Francisco,14,50,"[14, 4]","[50, 25]",bc21ce3883cc8a253ea7e642af133867,1453.0,1,18,75,1080,1155,1559792268.4028642
11,NRT,Tokyo,SFO,San Francisco,12,50,"[12, 3]","[50, 25]",97845471341db36c17d1933494de84e9,8400.0,1,15,75,900,975,1559792268.4028642
12,NRT,Tokyo,SFO,San Francisco,14,50,"[14, 4]","[50, 30]",ecdd44db1fdbc36009bdc6758bdd387b,1453.0,1,18,80,1080,1160,1559792268.4028642
13,NRT,Tokyo,SFO,San Francisco,14,45,"[14, 4]","[45, 25]",59dff0dd1c6aa600619aafad11a780f7,1453.0,1,18,70,1080,1150,1559792268.4028642
14,NRT,Tokyo,SFO,San Francisco,12,10,"[12, 2]","[10, 20]",3b8fe6ec9c3e541a177d90ace867e3f7,2640.0,1,14,30,840,870,1559792268.4028642
15,NRT,Tokyo,SFO,San Francisco,12,40,"[12, 3]","[40, 25]",5f0aa44e1f3774b8c33c445332b82c1d,973.0,1,15,65,900,965,1559792268.4028642
