,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
0,YUL,Montreal,SFO,San Francisco,5,22,"[5, 1]","[22, 43]",29954cc3016c9c3d260c525d1b4559a6,536.0,1,6,65,360,425,1559793313.646401
1,YUL,Montreal,SFO,San Francisco,2,38,"[2, 4]","[38, 3]",bd20fa7ddc19a212d5e8c4ce2d09ea39,508.0,1,6,41,360,401,1559793313.646401
2,SFO,San Francisco,YUL,Montreal,1,33,"[1, 5, 2]","[33, 10, 20]",bd574f62c1de2778b96fb66dfbb9488b,564.0,2,8,63,480,543,1559793313.646401
3,YUL,Montreal,SFO,San Francisco,5,28,[5],[28],5a25ce241e62b59423eeceb3b2f8a2ec,659.0,0,5,28,300,328,1559793313.646401
4,YUL,Montreal,SFO,San Francisco,4,31,"[4, 1]","[31, 45]",683f7f721914a4d0b2781f25d918ac4d,591.0,1,5,76,300,376,1559793313.646401
5,YUL,Montreal,SFO,San Francisco,4,8,"[4, 2]","[8, 6]",f867ef930e8cfa4a1d8cf8a885ceac62,817.0,1,6,14,360,374,1559793313.646401
6,YUL,Montreal,SFO,San Francisco,2,18,"[2, 1, 4]","[18, 24, 7]",af3147e7030d5830ed1ea2d5d2af2344,564.0,2,7,49,420,469,1559793313.646401
7,YUL,Montreal,SFO,San Francisco,5,16,"[5, 1]","[16, 15]",f15baa1852c1b1d10d4375aab2f04d8d,566.0,1,6,31,360,391,1559793313.646401
8,YUL,Montreal,SFO,San Francisco,5,28,[5],[28],eef66cb55f35d144f2b61d5a208549c7,4680.0,0,5,28,300,328,1559793313.646401
9,YUL,Montreal,SFO,San Francisco,4,55,"[4, 1]","[55, 15]",d17817901cc33fe20e5baba9dd9624c6,511.0,1,5,70,300,370,1559793313.646401
10,YUL,Montreal,SFO,San Francisco,3,47,"[3, 3]","[47, 36]",91cf8489495cf7dd2af0b9d1b59bd5c6,579.0,1,6,83,360,443,1559793313.646401
11,YUL,Montreal,SFO,San Francisco,4,55,"[4, 1]","[55, 15]",eee7da79da8dbb60287e0effb862aaeb,511.0,1,5,70,300,370,1559793313.646401
12,SFO,San Francisco,YUL,Montreal,6,16,[6],[16],6d6287473682c247d109f136bcf3f6e4,890.0,0,6,16,360,376,1559793313.646401
13,YUL,Montreal,SFO,San Francisco,3,29,"[3, 3, 1]","[29, 35, 33]",e35383decf564306fab7e907619c5666,491.0,2,7,97,420,517,1559793313.646401
14,YUL,Montreal,SFO,San Francisco,5,16,"[5, 2]","[16, 26]",64371a76db7fed8b3d0f1db204381aae,625.0,1,7,42,420,462,1559793313.646401
15,YUL,Montreal,SFO,San Francisco,5,16,"[5, 1]","[16, 44]",3c59b9ab48280178af9cff50b1ab5fa8,631.0,1,6,60,360,420,1559793313.646401
16,YUL,Montreal,SFO,San Francisco,5,28,[5],[28],07f799e26deb3b6a99b9cf8a60e9b3c5,702.0,0,5,28,300,328,1559793313.646401
17,YUL,Montreal,SFO,San Francisco,4,42,"[4, 2]","[42, 41]",c5a1e161ef3b6c2af8b92e91e6f14584,507.0,1,6,83,360,443,1559793313.646401
18,YUL,Montreal,SFO,San Francisco,5,28,[5],[28],46ee19c3fcfefdf4b76ebb76ab203609,659.0,0,5,28,300,328,1559793313.646401
19,YUL,Montreal,SFO,San Francisco,4,56,"[4, 1]","[56, 15]",56a7fd15951427f94cfde2d5d3e99d29,511.0,1,5,71,300,371,1559793313.646401
20,YUL,Montreal,SFO,San Francisco,5,16,"[5, 1]","[16, 44]",500bd6cb4dda921d67e0ea88b6b9686e,1207.0,1,6,60,360,420,1559793313.646401
21,YUL,Montreal,SFO,San Francisco,5,40,"[5, 1]","[40, 29]",9ac054718f737d2735d47bdca1fbdb23,890.0,1,6,69,360,429,1559793313.646401
22,SFO,San Francisco,YUL,Montreal,2,53,"[2, 4]","[53, 11]",e623ebb9edf29f957b3f39e2e2dc43d2,661.0,1,6,64,360,424,1559793313.646401
23,YUL,Montreal,SFO,San Francisco,4,39,"[4, 1]","[39, 46]",0926112402916d9148ada2836f6c8258,661.0,1,5,85,300,385,1559793313.646401
24,YUL,Montreal,SFO,San Francisco,5,47,"[5, 1]","[47, 14]",94a9e5985ea509043de1cf1e8d5947ad,773.0,1,6,61,360,421,1559793313.646401
25,SFO,San Francisco,YUL,Montreal,4,5,"[4, 3]","[5, 42]",580d91093bb93833ae182bf8dc8c0313,491.0,1,7,47,420,467,1559793313.646401
26,YUL,Montreal,SFO,San Francisco,2,39,"[2, 3]","[39, 49]",217f2467de4b6645ba2411fd39a6c10d,711.0,1,5,88,300,388,1559793313.646401
27,YUL,Montreal,SFO,San Francisco,5,8,"[5, 1]","[8, 44]",15adc91f24c7c927e77e83f0c59e8907,490.0,1,6,52,360,412,1559793313.646401
28,YUL,Montreal,SFO,San Francisco,5,55,"[5, 1]","[55, 37]",276f5eb9818e160f972de0c408669071,784.0,1,6,92,360,452,1559793313.646401
29,YUL,Montreal,SFO,San Francisco,4,36,"[4, 2]","[36, 41]",32944e626c8b066d7213b3db99bec4a0,464.0,1,6,77,360,437,1559793313.646401
30,SFO,San Francisco,YUL,Montreal,2,54,"[2, 5]","[54, 13]",d8c5e45e6734210fe4417a15769b5607,507.0,1,7,67,420,487,1559793313.646401
31,YUL,Montreal,SFO,San Francisco,5,16,"[5, 1]","[16, 15]",efe6c11795f08f29acdc478433c1abb5,566.0,1,6,31,360,391,1559793313.646401
32,YUL,Montreal,SFO,San Francisco,5,21,"[5, 2]","[21, 23]",e461f3db1d32e06bd05c7cecf048777b,625.0,1,7,44,420,464,1559793313.646401
33,YUL,Montreal,SFO,San Francisco,1,43,"[1, 4]","[43, 47]",ae2c5941edd69b7284a95d38c9af67e4,799.0,1,5,90,300,390,1559793313.646401
34,YUL,Montreal,SFO,San Francisco,4,30,"[4, 2]","[30, 16]",473dc0a608d83ee3544b645213665c31,1292.0,1,6,46,360,406,1559793313.646401
35,YUL,Montreal,SFO,San Francisco,5,28,[5],[28],9684aacf40e747fc7fafbdb44c86bb87,4680.0,0,5,28,300,328,1559793313.646401
36,SFO,San Francisco,YUL,Montreal,2,42,"[2, 4]","[42, 37]",1ec9540f91a938984d99bef1225ab301,490.0,1,6,79,360,439,1559793313.646401
37,SFO,San Francisco,YUL,Montreal,6,13,[6],[13],b9edd1f876acedd11b225a41f969c788,1292.0,0,6,13,360,373,1559793313.646401
38,YUL,Montreal,SFO,San Francisco,4,56,"[4, 1]","[56, 15]",9b91f9c834c66cad8f079184bccb461b,511.0,1,5,71,300,371,1559793313.646401
39,YUL,Montreal,SFO,San Francisco,1,37,"[1, 3, 2]","[37, 29, 36]",c6f62c7f41ec8edc9ffd09f5cce4114e,759.0,2,6,102,360,462,1559793313.646401
40,YUL,Montreal,SFO,San Francisco,5,33,"[5, 1]","[33, 53]",550e0e694de984c1eee48e92847c569a,695.0,1,6,86,360,446,1559793313.646401
41,YUL,Montreal,SFO,San Francisco,4,15,"[4, 2]","[15, 5]",c6623a4c7ecb2f34a0bc5d15b24b3074,817.0,1,6,20,360,380,1559793313.646401
42,YUL,Montreal,SFO,San Francisco,2,39,"[2, 3]","[39, 49]",8661f0a65e14e7fab5b8ef0a1203c37d,2723.0,1,5,88,300,388,1559793313.646401
43,SFO,San Francisco,YUL,Montreal,1,59,"[1, 5]","[59, 4]",72bc2fb39a4f8b29eeeccd052d404faa,464.0,1,6,63,360,423,1559793313.646401
44,YUL,Montreal,SFO,San Francisco,4,23,"[4, 2]","[23, 24]",e527707efa31360cc896d538c2b707db,536.0,1,6,47,360,407,1559793313.646401
45,YUL,Montreal,SFO,San Francisco,3,44,"[3, 2]","[44, 36]",82fc6d1dd067fbd0300145709ed63875,591.0,1,5,80,300,380,1559793313.646401
46,YUL,Montreal,SFO,San Francisco,4,56,"[4, 1]","[56, 15]",0dc565c4f1860376ea80c263ba0a3d05,511.0,1,5,71,300,371,1559793313.646401
47,YUL,Montreal,SFO,San Francisco,2,38,"[2, 4]","[38, 3]",1d0486ff613dd58c708f42634b16ffd8,508.0,1,6,41,360,401,1559793313.646401
48,YUL,Montreal,SFO,San Francisco,5,30,"[5, 1]","[30, 42]",5180db5286dda43ad9de828dd2c558f8,627.0,1,6,72,360,432,1559793313.646401
49,YUL,Montreal,SFO,San Francisco,5,28,[5],[28],35ad7478804715f7d8d1926464c8a052,500.0,0,5,28,300,328,1559793313.646401
50,YUL,Montreal,SFO,San Francisco,4,3,"[4, 2]","[3, 13]",e1b3a9dba3a1ad8254cc77878b20eba4,562.0,1,6,16,360,376,1559793313.646401
51,YUL,Montreal,SFO,San Francisco,5,28,[5],[28],60a089d3e84830874570c193e6586a52,504.0,0,5,28,300,328,1559793313.646401
52,YUL,Montreal,SFO,San Francisco,5,8,"[5, 1]","[8, 44]",37a0daee988a9dcc502814bc8d1da746,1207.0,1,6,52,360,412,1559793313.646401
