,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
0,ZRH,Zurich,SFO,San Francisco,11,0,"[11, 0]","[0, 55]",1f9c526347bd3b546f67dcc16f9ca2ee,1248.0,1,11,55,660,715,1559792590.008519
1,ZRH,Zurich,SFO,San Francisco,10,15,"[10, 2]","[15, 20]",41eb37fc2cc192b027fa74ca1ad72a9b,1417.0,1,12,35,720,755,1559792590.008519
2,ZRH,Zurich,SFO,San Francisco,5,20,"[5, 7]","[20, 55]",f3f48bc4ee16ede848fad594c5123f74,3580.0,1,12,75,720,795,1559792590.008519
3,ZRH,Zurich,SFO,San Francisco,3,44,"[3, 9, 1]","[44, 5, 45]",2ef6ee4d71545d5dfad77dbcf0ee2673,472.0,2,13,94,780,874,1559792590.008519
4,ZRH,Zurich,SFO,San Francisco,10,10,"[10, 1]","[10, 55]",9d7275b47ec60ab45863116bdb0ec0b1,1208.0,1,11,65,660,725,1559792590.008519
5,SFO,San Francisco,ZRH,Zurich,2,55,"[2, 13]","[55, 25]",d8ca5f4b81d9c5b848a83dad854469fe,1439.0,1,15,80,900,980,1559792590.008519
6,ZRH,Zurich,SFO,San Francisco,10,50,"[10, 0]","[50, 55]",3dcc71c4520bf4a9b514f83cf02d6e21,1248.0,1,10,105,600,705,1559792590.008519
7,ZRH,Zurich,SFO,San Francisco,4,36,"[4, 9]","[36, 4]",679722c62341c95c706a3b26452ba2ea,1439.0,1,13,40,780,820,1559792590.008519
8,ZRH,Zurich,SFO,San Francisco,11,10,"[11, 2]","[10, 40]",cb778ce7c6b57bee8e88447bf8ce96e2,2044.0,1,13,50,780,830,1559792590.008519
9,ZRH,Zurich,SFO,San Francisco,10,40,"[10, 1]","[40, 45]",76b372bbdd82283b615d440d36261921,3419.0,1,11,85,660,745,1559792590.008519
10,ZRH,Zurich,SFO,San Francisco,11,0,"[11, 0]","[0, 55]",66f3f0a7215a20dca5072e24db5aa8d1,2030.0,1,11,55,660,715,1559792590.008519
11,ZRH,Zurich,SFO,San Francisco,11,20,"[11, 0]","[20, 55]",c6de9584f6df0ed675b314236f4940a9,3614.0,1,11,75,660,735,1559792590.008519
12,SFO,San Francisco,ZRH,Zurich,1,45,"[1, 11]","[45, 20]",510b3e942bfaa2739cb79a85230011e0,1331.0,1,12,65,720,785,1559792590.008519
13,ZRH,Zurich,SFO,San Francisco,11,0,"[11, 0]","[0, 55]",6900c56d6b6d32cd142d07b4a3e3b3d7,1515.0,1,11,55,660,715,1559792590.008519
14,ZRH,Zurich,SFO,San Francisco,10,30,"[10, 2, 1]","[30, 20, 20]",53ce3aee9164146fc6151c81249731e4,3647.0,2,13,70,780,850,1559792590.008519
15,SFO,San Francisco,ZRH,Zurich,3,50,"[3, 8]","[50, 55]",a38451ed3d15b7b23d52535e0b09cb8e,1722.0,1,11,105,660,765,1559792590.008519
16,ZRH,Zurich,SFO,San Francisco,11,5,"[11, 0]","[5, 55]",916a4e08e1a427465544a99aa5199cd2,1722.0,1,11,60,660,720,1559792590.008519
17,ZRH,Zurich,SFO,San Francisco,10,40,"[10, 1]","[40, 45]",68e0b4b32ba58c01841bb2b3111fa55a,1331.0,1,11,85,660,745,1559792590.008519
18,ZRH,Zurich,SFO,San Francisco,5,28,"[5, 7]","[28, 25]",f5bc6b7f74940094d8ad789fbe789a94,3575.0,1,12,53,720,773,1559792590.008519
19,ZRH,Zurich,SFO,San Francisco,10,15,"[10, 2]","[15, 25]",a340b0e85c65e10d6b570258a3b40ee9,1598.0,1,12,40,720,760,1559792590.008519
20,SFO,San Francisco,ZRH,Zurich,10,25,"[10, 2]","[25, 38]",9b3941ea527d2b2874d25fecaa2d63d6,5956.0,1,12,63,720,783,1559792590.008519
21,ZRH,Zurich,SFO,San Francisco,10,50,[10],[50],2561b928c639e52cff203388357dd60f,1395.0,0,10,50,600,650,1559792590.008519
22,ZRH,Zurich,SFO,San Francisco,1,45,"[1, 9, 1]","[45, 55, 55]",f629e84811d80812e3e9bf833a2b1f33,1431.0,2,11,155,660,815,1559792590.008519
23,ZRH,Zurich,SFO,San Francisco,10,25,"[10, 1]","[25, 50]",655ac6d12795f279ea870476d674d6b2,1560.0,1,11,75,660,735,1559792590.008519
24,ZRH,Zurich,SFO,San Francisco,4,56,"[4, 7]","[56, 35]",d7162a535c9c83ae158bd93999552559,1216.0,1,11,91,660,751,1559792590.008519
25,ZRH,Zurich,SFO,San Francisco,11,5,"[11, 0]","[5, 55]",3ae1339876235e65c8d09a742cf5b8e8,2030.0,1,11,60,660,720,1559792590.008519
26,ZRH,Zurich,SFO,San Francisco,13,0,"[13, 3]","[0, 0]",00a7faa3126923912f03ec5294dcedfd,1439.0,1,16,0,960,960,1559792590.008519
27,SFO,San Francisco,ZRH,Zurich,2,50,"[2, 12]","[50, 20]",fd2382c85d865bf2f890f5457b0765df,1208.0,1,14,70,840,910,1559792590.008519
28,ZRH,Zurich,SFO,San Francisco,10,10,"[10, 1]","[10, 55]",fddf0665a85411ad9e1f7b106db5a4be,1286.0,1,11,65,660,725,1559792590.008519
29,ZRH,Zurich,SFO,San Francisco,4,36,"[4, 8, 1]","[36, 30, 15]",a00cc42a48ad69f7592056d6106e0da3,5960.0,2,13,81,780,861,1559792590.008519
30,ZRH,Zurich,SFO,San Francisco,10,45,"[10, 1]","[45, 15]",8de813dc02f24a2150173bc2d54452f6,10929.0,1,11,60,660,720,1559792590.008519
31,ZRH,Zurich,SFO,San Francisco,13,0,"[13, 2]","[0, 55]",2e951fedb4ac0aa1a890e13b18314200,1447.0,1,15,55,900,955,1559792590.008519
32,ZRH,Zurich,SFO,San Francisco,10,20,"[10, 1]","[20, 30]",baec40d981ae3cb8c73542d54193375a,1462.0,1,11,50,660,710,1559792590.008519
33,ZRH,Zurich,SFO,San Francisco,8,40,"[8, 3]","[40, 40]",be69246883a527c459fce2aa60460abe,1722.0,1,11,80,660,740,1559792590.008519
34,ZRH,Zurich,SFO,San Francisco,4,56,"[4, 7]","[56, 35]",3d59cad41979b978bbcced765ef4959c,1216.0,1,11,91,660,751,1559792590.008519
35,ZRH,Zurich,SFO,San Francisco,2,24,"[2, 9]","[24, 55]",985399a11f37c69ad46ff5639513e657,3575.0,1,11,79,660,739,1559792590.008519
36,SFO,San Francisco,ZRH,Zurich,9,25,"[9, 6]","[25, 0]",9fe3f1eb0ac49f28217ec167fc93b302,1045.0,1,15,25,900,925,1559792590.008519
37,ZRH,Zurich,SFO,San Francisco,11,10,"[11, 0]","[10, 55]",d459a966dae572d11479025e04462185,3597.0,1,11,65,660,725,1559792590.008519
38,ZRH,Zurich,SFO,San Francisco,11,0,[11],[0],a09736f8a7bb0f931a376316700fb0af,1213.0,0,11,0,660,660,1559792590.008519
