,arr_city,dept_city,leg_id,price,stops,total_time_mins,arr_city_coords,dept_city_coords
0,Sydney,San Francisco,d2f755fe00120e929ca74f961c1eab68,857.0,1,998,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
1,Sydney,San Francisco,714a5095ae3f54658f21659af126d1cd,936.0,1,1241,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
2,Sydney,San Francisco,f65e244378619c6565fee723db6e517b,942.0,1,983,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
3,Sydney,San Francisco,5de254db482d07b21fbacd2541d2a761,824.0,1,1258,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
4,Sydney,San Francisco,e62412b83aabfeabf1f95214aa7bdcf7,1182.0,1,1335,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
5,Sydney,San Francisco,3834aa69c5bb6e2423830dbc9ca7b79e,1301.0,1,995,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
6,San Francisco,Sydney,dbf63eeb1f5845d5f159c7495cdf6316,1312.0,2,956,"(37.7749295, -122.4194155)","(-33.8688197, 151.2092955)"
7,Sydney,San Francisco,17e3c67bf7a20804c3cdf36d28801c61,860.0,1,1002,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
8,Sydney,San Francisco,c5c7977135c98c32bdf24e497fee7617,933.0,1,1015,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
9,Sydney,San Francisco,cd1d2c2cc94801b3303b26a47e34e088,933.0,1,1015,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
10,San Francisco,Sydney,8cc1b309266cd48d4ba21ae4e26119b1,942.0,1,908,"(37.7749295, -122.4194155)","(-33.8688197, 151.2092955)"
11,San Francisco,Sydney,db9b35e7db84eaf836fe313c43984bc2,1075.0,1,1300,"(37.7749295, -122.4194155)","(-33.8688197, 151.2092955)"
12,Sydney,San Francisco,972f5a67f7725b0eb902a57df50dea3b,933.0,1,1015,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
13,San Francisco,Sydney,9359c2aa54946732a72fd3fcddd6d14c,1301.0,1,920,"(37.7749295, -122.4194155)","(-33.8688197, 151.2092955)"
14,Sydney,San Francisco,498aa2a9d9fc07497e256e55d9780695,944.0,2,1014,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
15,Sydney,San Francisco,b47d670d368d53080fafedf047106c82,962.0,1,1015,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
16,Sydney,San Francisco,5a0065bd437d806de81cc96b9638bfb9,1075.0,1,1315,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
17,Sydney,San Francisco,202dfd66ecae265c291e8521f8eb897b,1312.0,1,965,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
18,San Francisco,Sydney,8c13a7c15a2d99f6205183088c4f05ca,860.0,1,1201,"(37.7749295, -122.4194155)","(-33.8688197, 151.2092955)"
19,Sydney,San Francisco,752add69ebe916c89f1f6594be823392,942.0,1,982,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
20,Sydney,San Francisco,82412902f205c977ce442c1abec31303,944.0,1,992,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
21,Sydney,San Francisco,34aede9058792cc1ce65141cbbfe7f22,942.0,1,983,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
22,Sydney,San Francisco,af6d10b1d71ff9aad3189f3cc8db8eaf,962.0,1,1015,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
23,Sydney,San Francisco,7504590cc47114144218ad6f51df862a,860.0,1,1001,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
24,San Francisco,Sydney,0fdbb4b38f74785a1bc95d32a4869279,857.0,1,901,"(37.7749295, -122.4194155)","(-33.8688197, 151.2092955)"
25,Sydney,San Francisco,b4075092397d983ab98739bb54a8aaf0,860.0,1,997,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
26,Sydney,San Francisco,115b6c2b61d15e0ed9a816acfed66a84,936.0,1,1240,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
27,Sydney,San Francisco,85481c9c795884d20107ee72f1c91f9a,937.0,2,1129,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
28,San Francisco,Sydney,44dee49370c580d46a468a2d97f4af53,824.0,1,1192,"(37.7749295, -122.4194155)","(-33.8688197, 151.2092955)"
29,Sydney,San Francisco,dcd2886914066b46fc0016ceca1bbe28,857.0,1,1002,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
30,Sydney,San Francisco,e6b5bd1966c7aff61b933879e9f49d7d,942.0,1,1002,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
31,San Francisco,Sydney,75c318a0f2e8fb2783a026b5fe30960a,949.0,1,921,"(37.7749295, -122.4194155)","(-33.8688197, 151.2092955)"
32,Sydney,San Francisco,d6b7c4c365bef447e3cab79da3111ffb,933.0,1,1015,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
33,Sydney,San Francisco,ee2b1e4dc174823c625e98d5d651216e,933.0,1,1015,"(-33.8688197, 151.2092955)","(37.7749295, -122.4194155)"
